Date,Close,High,Low,Open,Volume,Ticker,SMA_20,SMA_50,SMA_200,RSI_14,MACD,MACD_signal,MACD_hist,BB_upper,BB_middle,BB_lower,ATR_14,daily_return,Golden_Cross,Death_Cross,RSI_Oversold,RSI_Overbought,MACD_Bullish,MACD_Bearish
2009-01-02,2.721686363220215,2.730384564060046,2.554037226218475,2.5756304672583537,746015200,AAPL,,,,,,,,,,,,,0,0,0,0,0,0
2009-01-05,2.836552858352661,2.8845386270494378,2.7804693222595778,2.79426571877622,1181608400,AAPL,,,,,,,,,,,,4.220416308238395,0,0,0,0,0,0
2009-01-06,2.789766788482666,2.914229252603177,2.7708724008265406,2.877640546798946,1289310400,AAPL,,,,,,,,,,,,-1.6493988374736812,0,0,0,0,0,0
2009-01-07,2.7294838428497314,2.774170305556812,2.7069904526804853,2.7534772194820034,753048800,AAPL,,,,,,,,,,,,-2.1608596776550693,0,0,0,0,0,0
2009-01-08,2.7801692485809326,2.793665726055566,2.7003930560001206,2.7120900298397097,673500800,AAPL,,,,,,,,2.85585243044934,2.771531820297241,2.6872112101451426,,1.8569593611619473,0,0,0,0,0,0
2009-01-09,2.7165889739990234,2.80056402649374,2.703393211800058,2.795465832185914,546845600,AAPL,,,,,,,,2.8573059215394085,2.770512342453003,2.6837187633665973,,-2.286921007214293,0,0,0,0,0,0
2009-01-12,2.659006834030152,2.7288857765895536,2.625716607902898,2.712990156603704,617716400,AAPL,,,,,,,,2.8295928504798513,2.735003137588501,2.6404134246971505,,-2.1196485931438636,0,0,0,0,0,0
2009-01-13,2.6305136680603027,2.691395462126428,2.589726327697364,2.646409280691181,798397600,AAPL,,,,,,,,2.809098528969485,2.7031525135040284,2.5972064980385716,,-1.0715717464578,0,0,0,0,0,0
2009-01-14,2.5591349601745605,2.6167174643595703,2.540840210080983,2.586426826388225,1021664000,AAPL,,,,,,,,2.8194813171149873,2.6690827369689942,2.518684156823001,,-2.71348933679465,0,0,0,0,0,0
2009-01-15,2.5006520748138428,2.522845744932796,2.400782261078231,2.4163773531078525,1831634000,AAPL,,,,,,,,2.764645129234563,2.6131793022155763,2.4617134751965897,,-2.2852599128546425,0,0,0,0,0,0
2009-01-16,2.469162702560425,2.5306441531327795,2.411280460137487,2.5282450147195594,1047625600,AAPL,,,,,,,,2.709243049275052,2.5636940479278563,2.4181450465806607,,-1.2592464409812876,0,0,0,0,0,0
2009-01-20,2.345299482345581,2.459265255971349,2.345299482345581,2.4571658348236154,919914800,AAPL,,,,,,,,2.691551293898367,2.5009525775909425,2.310353861283518,,-5.0164057672830715,0,0,0,0,0,0
2009-01-21,2.4841578006744385,2.485657587304835,2.3785895195590543,2.380988657616996,1089270000,AAPL,,,,,,,,2.612029025987364,2.4716814041137694,2.3313337822401747,,5.920707328600194,0,0,0,0,0,0
2009-01-22,2.6500084400177,2.699194277354555,2.573831446739748,2.640411686902462,1409528400,AAPL,,,,,,,,2.6840160920597453,2.4898561000823975,2.2956961081050498,,6.676332691032516,0,0,0,0,0,0
2009-01-23,2.6500084400177,2.6952951521815165,2.594225623248156,2.603822176151575,763770000,AAPL,,,,46.45929911696529,,,,2.753296861296223,2.519727373123169,2.2861578849501147,0.12371317286652886,0.0,0,0,0,0,0,0
2009-01-26,2.6883976459503174,2.728285849468511,2.6482089244705675,2.6650040945179034,692238400,AAPL,,,,48.56029919067633,,,,2.823533535830628,2.5635743618011473,2.3036151877716664,0.12059629801877278,1.4486446666698516,0,0,0,0,0,0
2009-01-27,2.7210872173309326,2.7456802359045525,2.6913962052543208,2.704891883220633,618038400,AAPL,,,,50.347081233099914,,,,2.8021860185790985,2.638731908798218,2.4752777990173374,0.11607389029987723,1.215950007613542,0,0,0,0,0,0
2009-01-28,2.825156688690185,2.849149273464093,2.744180613913186,2.7627750873459767,861406000,AAPL,,,,55.63095063128184,,,,2.836551292434523,2.7069316864013673,2.5773120803682117,0.11693018785939745,3.8245547844413696,0,0,0,0,0,0
2009-01-29,2.7891674041748047,2.82935532104658,2.777170712255149,2.7918662594330987,592729200,AAPL,,,,53.51025256602793,,,,2.8632966396951036,2.734763479232788,2.6062303187704727,0.112305503640257,-1.2738863178617499,0,0,0,0,0,0
2009-01-30,2.7030935287475586,2.807761477341915,2.6994943204445803,2.777171109838325,651478800,AAPL,2.6624547481536864,,,48.726081762299486,,,,2.850858192954106,2.74538049697876,2.6399028010034136,0.11201705030147684,-3.0860060711455084,0,0,0,0,0,0
2009-02-02,2.744479179382324,2.759174721485117,2.666202793757736,2.672201137646014,558247200,AAPL,2.663594388961792,,,50.99477200376622,,,,2.8461810425423284,2.756596803665161,2.667012564787994,0.11065668440332713,1.5310476753625624,0,0,0,0,0,0
2009-02-03,2.788567304611206,2.800563997974938,2.707592026948076,2.75677686804467,599309200,AAPL,2.6611951112747194,,,53.36218184654514,,,,2.8543882045878752,2.770092821121216,2.6857974376545566,0.10939349059072247,1.606429575421453,0,0,0,0,0,0
2009-02-04,2.805661678314209,2.8866379479824658,2.792166200636312,2.795765408454838,808421600,AAPL,2.661989855766296,,,54.28435428675479,,,,2.8412364341213987,2.7661938190460207,2.6911512039706427,0.10858471578933226,0.6130163569921798,0,0,0,0,0,0
2009-02-05,2.892935514450073,2.916628176279645,2.7777698935595354,2.7822684520838354,749246400,AAPL,2.6701624393463135,,,58.76699988669743,,,,2.9147640290539454,2.7869474411010744,2.6591308531482034,0.11074711342724493,3.110632932346369,0,0,0,0,0,0
2009-02-06,2.9907076358795166,2.9991051211692152,2.909131921485415,2.9097313557404125,687209600,AAPL,2.6806893587112426,,,63.12886030889322,,,,3.01965864942521,2.844470262527466,2.669281875629722,0.11042014866238047,3.3796854766059203,0,0,0,0,0,0
2009-02-09,3.0743815898895264,3.089077137272778,2.9841084840511125,2.9991047495838146,715010800,AAPL,2.698578989505768,,,66.40430586180685,,,,3.128547228376709,2.910450744628906,2.6923542608811033,0.11003075613090084,2.7977978524605263,0,0,0,0,0,0
